Docente;Código;Nome;Carga Horária Semestral
Caetano Veloso;004;Disciplina 4;60
Caetano Veloso;005;Disciplina 5;80
Caetano Veloso;006;Disciplina 6;100
Fafá de Belem;007;Disciplina 7;60
Fafá de Belem;008;Disciplina 8;80
Fafá de Belem;009;Disciplina 9;100
Fausto Silva;0010;Disciplina 10;60
Fausto Silva;0011;Disciplina 11;80
Fausto Silva;012;Disciplina 12;100
Marilia Mendonça;001;Disciplina 1;60
Marilia Mendonça;002;Disciplina 2;80
Marilia Mendonça;003;Disciplina 3;100
Silvio Santos;013;Disciplina 13;60
Silvio Santos;014;Disciplina 14;80
Silvio Santos;015;Disciplina 15;100
Silvio Santos;016;Disciplina 16;60
Silvio Santos;017;Disciplina 17;80
Silvio Santos;018;Disciplina 18;100
Silvio Santos;019;Disciplina 19;60
Silvio Santos;020;Disciplina 20;80
Silvio Santos;021;Disciplina 21;100
Silvio Santos;022;Disciplina 22;60
Silvio Santos;023;Disciplina 23;80
Silvio Santos;024;Disciplina 24;100
Silvio Santos;025;Disciplina 25;100
