Nome do Programa;Data de Ingresso;Matrícula;Nome
Mestrado em Administração;09/07/2016;2016101017;Discente 17
Mestrado em Administração;05/06/2017;2016101028;Discente 28
Mestrado em Ciências Sociais;04/04/2017;2016101019;Discente 19
Mestrado em Direito;04/04/2017;2016101029;Discente 29
Mestrado em Economia;08/09/2017;2016101018;Discente 18
Mestrado em Educação Física;02/05/2016;2016101011;Discente 11
Mestrado em Educação Física;15/01/2017;2016101022;Discente 22
Mestrado em Engenharia da Computação;08/02/2017;2016101026;Discente 26
Mestrado em Engenharia da Computação;05/04/2017;2016101015;Discente 15
Mestrado em Engenharia Elétrica;08/05/2017;2016101016;Discente 16
Mestrado em Engenharia Elétrica;04/09/2017;2016101027;Discente 27
Mestrado em Física;05/07/2016;2016101012;Discente 12
Mestrado em Física;08/08/2017;2016101023;Discente 23
Mestrado em Geografia;02/02/2016;2016101010;Discente 10
Mestrado em Georgafia;16/02/2017;2016101021;Discente 21
Mestrado em Matemática;04/01/2016;2016101013;Discente 13
Mestrado em Matemática;06/06/2017;2016101024;Discente 24
Mestrado em Química;03/03/2016;2016101014;Discente 14
Mestrado em Química;09/07/2017;2016101025;Discente 25
