Departamento;Docente;Cód. Curso;Curso;Horas Semestrais Aula
Departamento de Artes;Juliano Jurassa Neto;159;Artes Cenicas;105
Departamento de Artes;Juliano Jurassa Neto;154;Artes Visuais;60
Departamento de Artes;Juliano Jurassa Neto;240;Mestrado Acadêmico em Artes;60
Departamento de Artes;Juliano Jurassa Neto;100;Psicologia;60
Departamento de Artes;Margarida Oliveira de Souza;159;Artes Cenicas;90
Departamento de Artes;Margarida Oliveira de Souza;154;Artes Visuais;60
Departamento de Artes;Margarida Oliveira de Souza;194;Cinema;75
Departamento de Artes;Margarida Oliveira de Souza;312;Doutorado em Arquitetura e Urbanismo;60
Departamento de Artes;Margarida Oliveira de Souza;240;Mestrado Acadêmico em Artes;60
Departamento de Ciencias Exatas;Antonio Feijo;134;Economia;75
Departamento de Ciencias Exatas;Antonio Feijo;175;Fisica;150
Departamento de Ciencias Exatas;Antonio Feijo;114;Matematica;180
Departamento de Ciencias Exatas;Antonio Feijo;222;Mestrado Acadêmico em Matemática;150
Departamento de Ciencias Humanas;Pedro Henrique Felisberto;144;Direito;135
Departamento de Ciencias Humanas;Pedro Henrique Felisberto;307;Doutorado em Sistemas de Informacao;120
Departamento de Ciencias Humanas;Pedro Henrique Felisberto;134;Economia;60
Departamento de Ciencias Humanas;Pedro Henrique Felisberto;109;Filosofia;60
Departamento de Ciencias Humanas;Pedro Henrique Felisberto;105;Historia;120
Departamento de Ciencias Humanas;Pedro Henrique Felisberto;256;Mestrado em Comunicação e Territorialidades;135
Departamento de Ciencias Humanas;Pedro Henrique Felisberto;100;Psicologia;60
Departamento de Informatica;Giselda Arruda;184;Ciencia da Computacao;75
Departamento de Informatica;Miguel Lisboa;184;Ciencia da Computacao;75
Departamento de Informatica;Miguel Lisboa;176;Engenharia de Computacao;75
Departamento de Informatica;Miguel Lisboa;103;Sistemas de Informacao;120
