<matricula>;<nome>;<código do curso>
2014100245;Gilberto Souza;109
2014100654;Felipe Rodrigues Costa;194
2015200652;Geovane Delai ;312
2017200963;Adriana Silva da Penha;144
2014100854;Maria Julia Oliveira Sanches;222
2018100657;Ana Clara Livrini;105
2014200742;Yuri Justino;154
2014100569;Karolina Domingues Rusti;240
2017200854;Henrique Betanico Rio;114
2016100641;Pedro Vivian Domingos;312
2014200255;Giulia Barcelos Solamento;103
2015100982;Selenio Antonio Juarez;100
2015100637;Justiano Irineu Tebas;194
2014100564;Paulo Liberato Uliano;307
2018100159;Enzo Oitelento;134
2016100260;Valentina Baleuta Bira;103
2018100269;Helena Valentina Gusteio;134
2014100753;Marilia Trebach;176
2014200255;Renata do Carmo Nadete;159
2016200327;Flavio Jascilute Arelo;222
2015100265;Lucas Fassarela Hirochi;240
2015200573;Gisele Ribeiro;100
2015200657;Gabriel Lizarde Neto;194
2018100002;Arieli Liguini Correia;176
2014100013;Kely Belarde Rio;175
2014100025;Wesley Teresse Uruguei;114
2016200623;Tiago Reis;256
2017200989;Julia Roberta;103
2015200145;Enzo Leonardo Yori;194
2014200274;Helena Lisboa Nepomuceno;184
